week,year,tot
1,2016,330
1,2017,381
2,2016,301
2,2017,322
3,2016,308
3,2017,373
4,2016,334
4,2017,336
5,2016,275
5,2017,369
6,2016,272
6,2017,348
7,2016,299
7,2017,364
8,2016,298
8,2017,383
9,2016,294
9,2017,358
10,2016,313
10,2017,420
11,2016,314
11,2017,348
12,2016,354
12,2017,368
13,2016,303
13,2017,378
14,2016,300
14,2017,415
15,2016,357
15,2017,407
16,2016,390
16,2017,423
17,2016,369
17,2017,454
18,2016,328
18,2017,428
19,2016,347
19,2017,419
20,2016,373
20,2017,437
21,2016,388
21,2017,433
22,2016,362
22,2017,472
23,2016,364
23,2017,501
24,2016,444
24,2017,478
25,2016,406
25,2017,479
26,2016,428
26,2017,501
27,2016,433
27,2017,491
28,2016,421
28,2017,469
29,2016,445
29,2017,460
30,2016,450
30,2017,499
31,2016,482
31,2017,486
32,2016,462
32,2017,472
33,2016,492
33,2017,475
34,2016,465
34,2017,473
35,2016,475
35,2017,488
36,2016,458
36,2017,484
37,2016,465
37,2017,470
38,2016,497
38,2017,428
39,2016,466
39,2017,464
40,2016,449
40,2017,435
41,2016,379
41,2017,464
42,2016,455
42,2017,445
43,2016,458
43,2017,442
44,2016,367
44,2017,417
45,2016,418
45,2017,390
46,2016,440
46,2017,404
47,2016,379
47,2017,372
48,2016,436
48,2017,456
49,2016,339
49,2017,377
50,2016,380
50,2017,390
51,2016,382
51,2017,409
52,2016,321
52,2017,313
